Market_Region,Date,ReExports,Domestic_Exports,Imports
Bangladesh,2014-02-01,169.8,99.9,16.7
Bangladesh,2014-01-01,149.4,60.5,14.1
Bangladesh,2013-12-01,131.1,130.1,15.3
Bangladesh,2013-11-01,189,98.2,9.2
Bangladesh,2013-10-01,107.2,137.7,10.2
Bangladesh,2013-09-01,208.5,179.3,12.1
Bangladesh,2013-08-01,118.6,160.7,14.1
Bangladesh,2013-07-01,133.8,202.4,15.6
Bangladesh,2013-06-01,145.6,141,13.7
Bangladesh,2013-05-01,123.3,117.4,11.9
Bangladesh,2013-04-01,142.1,145.6,11.4
Bangladesh,2013-03-01,125.3,141.8,16.9
Bangladesh,2013-02-01,91.4,62,11.3
Bangladesh,2013-01-01,109.5,94.9,13
Bangladesh,2012-12-01,104.5,85.4,10.3
Bangladesh,2012-11-01,133.1,117.2,10.1
Bangladesh,2012-10-01,156.7,106.5,10.1
Bangladesh,2012-09-01,98.2,124.6,10.7
Bangladesh,2012-08-01,107.6,128.6,11
Bangladesh,2012-07-01,134.2,75.2,12.5
Bangladesh,2012-06-01,133.9,63.1,9.8
Bangladesh,2012-05-01,99,106.2,9.6
Bangladesh,2012-04-01,129.4,46.1,9.5
Bangladesh,2012-03-01,170.9,83.9,16.8
Bangladesh,2012-02-01,127,75.1,9.2
Bangladesh,2012-01-01,122.9,84.5,12.3
Bangladesh,2011-12-01,142.3,70.9,13.1
Bangladesh,2011-11-01,165.1,84.4,8.3
Bangladesh,2011-10-01,194.1,114.1,7.8
Bangladesh,2011-09-01,137.7,102.8,8.6
Bangladesh,2011-08-01,117.3,136.9,10.3
Bangladesh,2011-07-01,96,112.4,34.7
Bangladesh,2011-06-01,153.5,84.7,11.3
Bangladesh,2011-05-01,102.1,84.9,6.2
Bangladesh,2011-04-01,197.9,97.4,10.4
Bangladesh,2011-03-01,134.9,72.1,8.5
Bangladesh,2011-02-01,163.6,75.4,7.4
Bangladesh,2011-01-01,136.7,77.2,8.2
Bangladesh,2010-12-01,154.4,62.4,8.5
Bangladesh,2010-11-01,107.3,130.5,5.5
Bangladesh,2010-10-01,91.3,95.9,5.7
Bangladesh,2010-09-01,147.6,62.4,6
Bangladesh,2010-08-01,100.2,59.1,4.1
Bangladesh,2010-07-01,106.2,100.2,9.3
Bangladesh,2010-06-01,144.9,70.4,6.3
Bangladesh,2010-05-01,124.6,87.4,4.6
Bangladesh,2010-04-01,118.9,93.5,3.7
Bangladesh,2010-03-01,131.5,56.4,6.4
Bangladesh,2010-02-01,82.2,51.6,14.4
Bangladesh,2010-01-01,87.9,51,3.5
Bangladesh,2009-12-01,90.1,54.2,24.6
Bangladesh,2009-11-01,88.7,75,4.4
Bangladesh,2009-10-01,98.9,30.7,2.4
Bangladesh,2009-09-01,91.5,90.6,2.6
Bangladesh,2009-08-01,93,78.5,23.1
Bangladesh,2009-07-01,101.2,67.5,3.8
Bangladesh,2009-06-01,84,88.7,16.2
Bangladesh,2009-05-01,83.2,95.5,3.3
Bangladesh,2009-04-01,80.7,119.5,3.4
Bangladesh,2009-03-01,94.4,111.7,4.5
Bangladesh,2009-02-01,80.8,89,6.1
Bangladesh,2009-01-01,72.8,85.8,6.9
Bangladesh,2008-12-01,79.6,33.7,8.3
Bangladesh,2008-11-01,79.7,39.8,4.7
Bangladesh,2008-10-01,92.1,40.1,4.6
Bangladesh,2008-09-01,83.9,129.2,7.4
Bangladesh,2008-08-01,85.9,53.3,6.5
Bangladesh,2008-07-01,87,110.9,61.5
Bangladesh,2008-06-01,87.9,101,5.8
Bangladesh,2008-05-01,103.5,48,3.2
Bangladesh,2008-04-01,86.8,31.5,5.7
Bangladesh,2008-03-01,102.8,48,15.1
Bangladesh,2008-02-01,71.6,28.4,6.6
Bangladesh,2008-01-01,96.8,41,8.3
Bangladesh,2007-12-01,78.3,40.3,8.4
Bangladesh,2007-11-01,105.3,31.8,11.8
Bangladesh,2007-10-01,79.2,34.8,11.8
Bangladesh,2007-09-01,99.3,45,10.2
Bangladesh,2007-08-01,92.5,30,9.1
Bangladesh,2007-07-01,80.5,40.4,13.2
Bangladesh,2007-06-01,76.4,35.3,11.6
Bangladesh,2007-05-01,74.5,33.7,7.5
Bangladesh,2007-04-01,70.1,40.1,7.9
Bangladesh,2007-03-01,74.8,24.4,6.1
Bangladesh,2007-02-01,69.8,26.9,7
Bangladesh,2007-01-01,93,32.9,22.9
Bangladesh,2006-12-01,94.4,29.6,9.5
Bangladesh,2006-11-01,102.7,29.1,8
Bangladesh,2006-10-01,77.3,40.3,11.2
Bangladesh,2006-09-01,78,40.5,11.3
Bangladesh,2006-08-01,108.6,44.7,21.6
Bangladesh,2006-07-01,75.4,31.4,11.1
Bangladesh,2006-06-01,86.2,40.7,17.4
Bangladesh,2006-05-01,80.4,38.9,17.5
Bangladesh,2006-04-01,75.6,49.5,25.4
Bangladesh,2006-03-01,97.4,47.5,14.1
Bangladesh,2006-02-01,63.6,40.9,9.6
Bangladesh,2006-01-01,62,42.9,23.6
Bangladesh,2005-12-01,83.8,37.9,14.3
Bangladesh,2005-11-01,67.7,28.7,20.7
Bangladesh,2005-10-01,75.7,25.6,29.2
Bangladesh,2005-09-01,63.3,24.2,26.2
Bangladesh,2005-08-01,71.2,35.4,20.3
Bangladesh,2005-07-01,57.6,34.4,9.4
Bangladesh,2005-06-01,68.1,25.8,4.1
Bangladesh,2005-05-01,63.9,31.6,3.5
Bangladesh,2005-04-01,51.8,43,11.5
Bangladesh,2005-03-01,61.1,39.6,9.2
Bangladesh,2005-02-01,44.8,37.2,4
Bangladesh,2005-01-01,60.7,25.3,6.1
Bangladesh,2004-12-01,75.4,73.4,19.7
Bangladesh,2004-11-01,52.9,50.8,27.6
Bangladesh,2004-10-01,61.2,40.3,24.7
Bangladesh,2004-09-01,54.5,52.5,16.4
Bangladesh,2004-08-01,46.5,47.8,20.1
Bangladesh,2004-07-01,61.5,58.2,19.9
Bangladesh,2004-06-01,49.8,56.7,22.4
Bangladesh,2004-05-01,56.6,57.6,18.1
Bangladesh,2004-04-01,58.7,61.6,8.8
Bangladesh,2004-03-01,50.9,39,16.6
Bangladesh,2004-02-01,39.8,30.4,13.3
Bangladesh,2004-01-01,46.5,29.4,14.5
Bangladesh,2003-12-01,50.3,39.2,22.6
Bangladesh,2003-11-01,47.2,52.8,13.2
Bangladesh,2003-10-01,66.6,61,13
Bangladesh,2003-09-01,40.1,30.1,22.7
Bangladesh,2003-08-01,44.1,24.5,15.1
Bangladesh,2003-07-01,45.8,50.7,22.1
Bangladesh,2003-06-01,41.1,57.2,20.1
Bangladesh,2003-05-01,52.5,58.2,13.6
Bangladesh,2003-04-01,46.6,63.9,7.4
Bangladesh,2003-03-01,42.3,75.1,8.5
Bangladesh,2003-02-01,31.1,41,10.7
Bangladesh,2003-01-01,59.3,67.9,9.6
Brunei,2025-01-01,47.7,17.8,205.5
Brunei,2024-12-01,88.5,15.5,94.7
Brunei,2024-11-01,1122.9,20,93.7
Brunei,2024-10-01,1184,19.7,94.7
Brunei,2024-09-01,57.6,14.3,83.9
Brunei,2024-08-01,36.6,20.6,107.5
Brunei,2024-07-01,64.6,20.9,95.9
Brunei,2024-06-01,52.4,16.2,152.4
Brunei,2024-05-01,46.5,15.9,240.6
Brunei,2024-04-01,92.9,16.6,210.9
Brunei,2024-03-01,49.8,24.3,130.5
Brunei,2024-02-01,54.3,10.9,257.4
Brunei,2024-01-01,58.2,18.6,195.9
Brunei,2023-12-01,57.5,25,175.6
Brunei,2023-11-01,117.1,16.4,281
Brunei,2023-10-01,96.8,22.6,292.8
Brunei,2023-09-01,73.8,16.8,189.7
Brunei,2023-08-01,81.1,18.4,253.5
Brunei,2023-07-01,61.1,17.3,117.2
Brunei,2023-06-01,56.4,20.3,97.5
Brunei,2023-05-01,62.8,21.1,199.2
Brunei,2023-04-01,84,16.2,70.1
Brunei,2023-03-01,81.2,21.5,192.8
Brunei,2023-02-01,65.9,18.6,307.2
Brunei,2023-01-01,44.5,16.8,273.6
Brunei,2022-12-01,54.3,21.6,143.1
Brunei,2022-11-01,47.1,18.3,121.1
Brunei,2022-10-01,47.3,19.8,215
Brunei,2022-09-01,57.2,24.1,208.5
Brunei,2022-08-01,83.3,18,312
Brunei,2022-07-01,88.3,19.6,248.8
Brunei,2022-06-01,51.2,91,247
Brunei,2022-05-01,43,32.8,307.7
Brunei,2022-04-01,68.7,72.3,446.8
Brunei,2022-03-01,66,25.2,178.3
Brunei,2022-02-01,36.1,59.3,161.9
Brunei,2022-01-01,55.8,21.9,118.4
Brunei,2021-12-01,56,30.8,238.5
Brunei,2021-11-01,49.2,19.6,272
Brunei,2021-10-01,51.3,18.5,180.3
Brunei,2021-09-01,53.4,46.2,175.6
Brunei,2021-08-01,54.7,19.7,209.2
Brunei,2021-07-01,44.1,24.5,137.3
Brunei,2021-06-01,52.2,47.9,105.7
Brunei,2021-05-01,57.8,22.9,44.8
Brunei,2021-04-01,54,64.6,110.5
Brunei,2021-03-01,67.5,22.4,102.3
Brunei,2021-02-01,49.3,19.8,56.6
Brunei,2021-01-01,56,19.4,71.1
Brunei,2020-12-01,60,23.3,99.1
Brunei,2020-11-01,53.1,41.5,26.8
Brunei,2020-10-01,55.8,25.8,54.5
Brunei,2020-09-01,60.1,18.3,68
Brunei,2020-08-01,49.7,44.1,36.8
Brunei,2020-07-01,64.3,23.5,25.9
Brunei,2020-06-01,90.9,24.1,36.5
Brunei,2020-05-01,37.4,27.3,49.8
Brunei,2020-04-01,61.1,44.7,96.2
Brunei,2020-03-01,50.7,41.3,70.9
Brunei,2020-02-01,61.2,37.6,242.8
Brunei,2020-01-01,42.6,49.5,278.3
Brunei,2019-12-01,66.4,53.2,147.8
Brunei,2019-11-01,40.8,83.9,89.5
Brunei,2019-10-01,48.6,58.8,5.5
Brunei,2019-09-01,80.1,38.2,31.9
Brunei,2019-08-01,289.6,42.3,61.3
Brunei,2019-07-01,86.4,70.3,60.6
Brunei,2019-06-01,35.7,48.8,97.7
Brunei,2019-05-01,44.2,53.3,4.9
Brunei,2019-04-01,46.1,42.9,3.8
Brunei,2019-03-01,62.6,41.1,6.1
Brunei,2019-02-01,38.8,47.2,9.4
Brunei,2019-01-01,51.5,49.9,56.7
Brunei,2018-12-01,71.6,45.8,83.3
Brunei,2018-11-01,64.1,54.8,90.1
Brunei,2018-10-01,87.6,69.3,153.5
Brunei,2018-09-01,69.8,60,45.8
Brunei,2018-08-01,48.8,43.3,37.3
Brunei,2018-07-01,58.1,41.2,34
Brunei,2018-06-01,45.1,41.7,35.4
Brunei,2018-05-01,41.5,40.9,66.5
Brunei,2018-04-01,44.1,42.1,42.8
Brunei,2018-03-01,42.3,45.7,30.8
Brunei,2018-02-01,38.8,27.7,29.3
Brunei,2018-01-01,33.8,31.9,59.3
Brunei,2017-12-01,34.5,33.6,58.2
Brunei,2017-11-01,39,35,78.1
Brunei,2017-10-01,39.1,53.4,2.1
Brunei,2017-09-01,34.7,42.8,25.1
Brunei,2017-08-01,40.7,56.7,24.8
Brunei,2017-07-01,31.9,44.5,44.9
Brunei,2017-06-01,70.5,52.8,2.7
Brunei,2017-05-01,40.6,51.7,47.3
Brunei,2017-04-01,46.3,38.8,43.6
Brunei,2017-03-01,46.1,49.6,29.4
Brunei,2017-02-01,41.9,34.4,32.2
Brunei,2017-01-01,34.7,52.8,32.3
Brunei,2016-12-01,52,50.6,4.1
Brunei,2016-11-01,56,51.3,3.2
Brunei,2016-10-01,46.1,41.5,22.3
Brunei,2016-09-01,46.3,37.3,2.9
Brunei,2016-08-01,53.1,45,20.7
Brunei,2016-07-01,45.3,29.3,6.8
Brunei,2016-06-01,39.4,40.5,2.9
Brunei,2016-05-01,56.3,41.9,4
Brunei,2016-04-01,40.2,37,32.4
Brunei,2016-03-01,51.1,33.2,5.6
Brunei,2016-02-01,38.5,43.5,1.6
Brunei,2016-01-01,45.6,38.6,7.9
Brunei,2015-12-01,42.4,61,1.3
Brunei,2015-11-01,45.3,51.4,2.2
Brunei,2015-10-01,45.6,49.6,45.9
Brunei,2015-09-01,42.1,44.8,6.1
Brunei,2015-08-01,43.8,33.3,3.8
Brunei,2015-07-01,42.2,41,38.2
Brunei,2015-06-01,51.3,35.4,10.2
Brunei,2015-05-01,55.4,34.2,31.6
Brunei,2015-04-01,57.7,38.8,8.8
Brunei,2015-03-01,62.4,35,29.7
Brunei,2015-02-01,42,25.8,8
Brunei,2015-01-01,56,31.8,3.6
Brunei,2014-12-01,54.6,32.7,6.1
Brunei,2014-11-01,76.8,26.2,3.6
Brunei,2014-10-01,63.2,32.8,111.8
Brunei,2014-09-01,66,34,48.5
Brunei,2014-08-01,55.4,27.5,26.6
Brunei,2014-07-01,63.7,39,6.9
Brunei,2014-06-01,69.6,29.8,5.1
Brunei,2014-05-01,74.2,38,14.1
Brunei,2014-04-01,49.6,38.5,8.9
Brunei,2014-03-01,52.5,27.3,6.4
Brunei,2014-02-01,48.1,31.1,3.5
Brunei,2014-01-01,53.7,33.4,51.9
Brunei,2013-12-01,57.2,53.7,4.9
Brunei,2013-11-01,68,40.9,1.9
Brunei,2013-10-01,63.5,78.6,5.4
Brunei,2013-09-01,66,42.2,7.1
Brunei,2013-08-01,107.5,38.4,5.1
Brunei,2013-07-01,72,40.2,10.3
Brunei,2013-06-01,64.1,38.7,4.3
Brunei,2013-05-01,81.3,41.4,3.6
Brunei,2013-04-01,116.7,49.2,6.2
Brunei,2013-03-01,67,46.8,8.2
Brunei,2013-02-01,48.8,40.8,2.6
Brunei,2013-01-01,82,39.6,9.6
Brunei,2012-12-01,55.7,46.9,15.3
Brunei,2012-11-01,58.7,48.8,10.4
Brunei,2012-10-01,57,44,9.9
Brunei,2012-09-01,50.9,52.9,9
Brunei,2012-08-01,59.2,58.2,10.7
Brunei,2012-07-01,65.5,63.2,13.7
Brunei,2012-06-01,70.8,55.3,14.5
Brunei,2012-05-01,76,56.8,10.2
Brunei,2012-04-01,67,86.4,12.4
Brunei,2012-03-01,80.7,89.2,24.2
Brunei,2012-02-01,71.7,43.5,15
Brunei,2012-01-01,122.4,64.1,18.6
Brunei,2011-12-01,78.8,53.5,13.4
Brunei,2011-11-01,60.4,63.3,8.8
Brunei,2011-10-01,67.5,49.8,7.7
Brunei,2011-09-01,53.5,52.6,15.4
Brunei,2011-08-01,70,622.8,22.4
Brunei,2011-07-01,73.7,52.1,8.3
Brunei,2011-06-01,74.5,62.4,18.8
Brunei,2011-05-01,72.8,55,51.5
Brunei,2011-04-01,60.1,46.8,20.2
Brunei,2011-03-01,70,58.7,44.6
Brunei,2011-02-01,49.6,32.4,19.9
Brunei,2011-01-01,58,42.8,13.7
Brunei,2010-12-01,71.1,45.2,13.9
Brunei,2010-11-01,58.9,44.7,10.2
Brunei,2010-10-01,66.5,43.7,7
Brunei,2010-09-01,73,39.3,6.3
Brunei,2010-08-01,86.8,42.8,5.1
Brunei,2010-07-01,62.1,42.5,66.6
Brunei,2010-06-01,94.8,43.5,4.4
Brunei,2010-05-01,74.8,43.4,9.7
Brunei,2010-04-01,62.1,40.1,42.2
Brunei,2010-03-01,56.5,33.7,3.1
Brunei,2010-02-01,45.1,29.3,5.4
Brunei,2010-01-01,54.7,33.1,4
Brunei,2009-12-01,59.1,42.2,2.3
Brunei,2009-11-01,52,46.5,5.1
Brunei,2009-10-01,64.8,33.6,7
Brunei,2009-09-01,63.4,34.1,6.6
Brunei,2009-08-01,72.6,27.5,7.8
Brunei,2009-07-01,85.5,35.9,9.7
Brunei,2009-06-01,68.8,30.4,7.3
Brunei,2009-05-01,68,36.6,6.9
Brunei,2009-04-01,103.2,29,11.9
Brunei,2009-03-01,82.3,36.3,13.1
Brunei,2009-02-01,53.6,31.4,50.3
Brunei,2009-01-01,66.1,35.2,7
Brunei,2008-12-01,79.1,27.8,7.3
Brunei,2008-11-01,149.1,30.4,36.8
Brunei,2008-10-01,88.4,23.2,9.7
Brunei,2008-09-01,89,40.3,12.7
Brunei,2008-08-01,76.7,28.1,12.9
Brunei,2008-07-01,62,41.7,12.2
Brunei,2008-06-01,51.2,32.8,63.7
Brunei,2008-05-01,58.6,31.7,11.8
Brunei,2008-04-01,54.2,29.3,67.8
Brunei,2008-03-01,51.9,29.7,6.8
Brunei,2008-02-01,45,20.4,8.3
Brunei,2008-01-01,57.4,30.4,23.6
Brunei,2007-12-01,53,25.6,10.4
Brunei,2007-11-01,62.7,35.8,8.5
Brunei,2007-10-01,66.8,30.3,15.3
Brunei,2007-09-01,58.4,32.3,80.5
Brunei,2007-08-01,71.9,31,9.1
Brunei,2007-07-01,65.3,31.1,13.1
Brunei,2007-06-01,55.9,35.5,16.1
Brunei,2007-05-01,54.3,26.3,14.6
Brunei,2007-04-01,50.2,27.8,11.6
Brunei,2007-03-01,58.9,28.2,9.6
Brunei,2007-02-01,39.6,24,11.5
Brunei,2007-01-01,54.8,28.6,11.2
Brunei,2006-12-01,50.3,26.1,69.9
Brunei,2006-11-01,60.6,28.7,7.4
Brunei,2006-10-01,64.5,31.9,15
Brunei,2006-09-01,47.7,30.9,74.4
Brunei,2006-08-01,54.3,28.8,17.5
Brunei,2006-07-01,42.3,25.5,17.1
Brunei,2006-06-01,50.7,25.1,16.5
Brunei,2006-05-01,48.9,28,13.5
Brunei,2006-04-01,51.4,18.7,10.3
Brunei,2006-03-01,49.1,24.8,18
Brunei,2006-02-01,41.5,19.9,13.9
Brunei,2006-01-01,37.4,23.9,74.9
Brunei,2005-12-01,42,23.9,13
Brunei,2005-11-01,39.7,34.3,9.1
Brunei,2005-10-01,44.6,27.4,14.9
Brunei,2005-09-01,45.4,32.1,56.6
Brunei,2005-08-01,43,30.3,24.6
Brunei,2005-07-01,50.7,27.5,19.3
Brunei,2005-06-01,37,23.9,23
Brunei,2005-05-01,45.6,22.5,15.9
Brunei,2005-04-01,50.4,23.9,18.8
Brunei,2005-03-01,45.5,23.8,22.5
Brunei,2005-02-01,33.4,11.9,16
Brunei,2005-01-01,47.9,19,14
Brunei,2004-12-01,46.6,15.5,21.4
Brunei,2004-11-01,36.4,19.6,19.4
Brunei,2004-10-01,61.3,23.7,21.6
Brunei,2004-09-01,53,22.2,23.2
Brunei,2004-08-01,53.7,23.1,18.6
Brunei,2004-07-01,57.4,21.7,28.2
Brunei,2004-06-01,53.7,20.3,20.7
Brunei,2004-05-01,45.9,20.4,19.7
Brunei,2004-04-01,53.9,20.4,19.2
Brunei,2004-03-01,48,21.5,22.4
Brunei,2004-02-01,36,20.5,25.1
Brunei,2004-01-01,34.6,16.1,22.1
Brunei,2003-12-01,42.4,19.1,22.3
Brunei,2003-11-01,40.7,20.8,19.4
Brunei,2003-10-01,44.5,23.1,22.6
Brunei,2003-09-01,50.6,23.2,30.8
Brunei,2003-08-01,53.8,18.9,31.1
Brunei,2003-07-01,50.1,26.5,26.3
Brunei,2003-06-01,41.7,22.2,35.3
Brunei,2003-05-01,56,30.1,31.7
Brunei,2003-04-01,48,21.6,15.3
Brunei,2003-03-01,38,19.9,22.3
Brunei,2003-02-01,33.6,12.8,21.2
Brunei,2003-01-01,47.2,20.2,25.2
Cambodia,2025-01-01,54,103.9,87.8
Cambodia,2024-12-01,53,87,50.1
Cambodia,2024-11-01,93.1,139.6,120.3
Cambodia,2024-10-01,173.3,208.6,15
Cambodia,2024-09-01,71.1,127.5,26.6
Cambodia,2024-08-01,39.9,119.4,76
Cambodia,2024-07-01,61.4,136.9,79.6
Cambodia,2024-06-01,69.2,112.7,25.8
Cambodia,2024-05-01,165,240.5,21.2
Cambodia,2024-04-01,116.6,159.9,101.2
Cambodia,2024-03-01,342.2,220.2,12.9
Cambodia,2024-02-01,481.6,345.9,18.3
Cambodia,2024-01-01,402.6,304.4,18.6
Cambodia,2023-12-01,134.2,107.6,28.9
Cambodia,2023-11-01,49.2,110.2,104.5
Cambodia,2023-10-01,364.5,204.6,196.3
Cambodia,2023-09-01,83.8,103.8,10.6
Cambodia,2023-08-01,89.7,132.4,41.3
Cambodia,2023-07-01,39.9,86.9,55.8
Cambodia,2023-06-01,75.1,139,112.7
Cambodia,2023-05-01,49.2,100.8,316.7
Cambodia,2023-04-01,50.3,66.9,619.1
Cambodia,2023-03-01,120.6,134.7,225.1
Cambodia,2023-02-01,148.9,131.2,38.6
Cambodia,2023-01-01,67.1,97.7,74.8
Cambodia,2022-12-01,86.5,108.6,25.9
Cambodia,2022-11-01,153,127.9,16.4
Cambodia,2022-10-01,346.8,247.6,9.1
Cambodia,2022-09-01,818.2,686.5,12.6
Cambodia,2022-08-01,567,520.9,21.8
Cambodia,2022-07-01,924.1,774.4,27.8
Cambodia,2022-06-01,467.2,575.6,13.2
Cambodia,2022-05-01,564.5,921,16.5
Cambodia,2022-04-01,362.4,267.6,22.5
Cambodia,2022-03-01,132.1,207,45.8
Cambodia,2022-02-01,280.9,349.6,15.1
Cambodia,2022-01-01,552,743.9,21.5
Cambodia,2021-12-01,475.1,785.3,31.6
Cambodia,2021-11-01,227.1,505.7,28.8
Cambodia,2021-10-01,303.4,418.5,24.3
Cambodia,2021-09-01,129.5,233.6,37.6
Cambodia,2021-08-01,82.3,156.4,27
Cambodia,2021-07-01,134.9,288.1,19.4
Cambodia,2021-06-01,179.2,440.1,56.1
Cambodia,2021-05-01,169.2,168.5,48.6
Cambodia,2021-04-01,446.4,179,9.1
Cambodia,2021-03-01,1083.2,471.9,10.1
Cambodia,2021-02-01,170.6,963.8,8.8
Cambodia,2021-01-01,137.7,734.8,11.7
Cambodia,2020-12-01,151,387.1,29.1
Cambodia,2020-11-01,80.5,256.1,47.2
Cambodia,2020-10-01,49.4,36.9,129.7
Cambodia,2020-09-01,39.5,31.1,393
Cambodia,2020-08-01,42.4,34.7,632.3
Cambodia,2020-07-01,36.8,50.2,683.8
Cambodia,2020-06-01,39.5,53.1,618
Cambodia,2020-05-01,38.2,41.9,661.6
Cambodia,2020-04-01,32.5,44.5,77.2
Cambodia,2020-03-01,93.9,146.1,162.3
Cambodia,2020-02-01,53.3,120.4,196.9
Cambodia,2020-01-01,124.1,93.8,17.1
Cambodia,2019-12-01,204.4,230.3,25
Cambodia,2019-11-01,142.3,292.2,61.9
Cambodia,2019-10-01,48.6,81.2,176.3
Cambodia,2019-09-01,42.6,55.1,362.4
Cambodia,2019-08-01,42.5,45.3,818.1
Cambodia,2019-07-01,50.5,85.5,710.6
Cambodia,2019-06-01,54.4,53.8,645.6
Cambodia,2019-05-01,225.9,78.4,11.2
Cambodia,2019-04-01,270.5,190.8,12.8
Cambodia,2019-03-01,266,91.3,10
Cambodia,2019-02-01,81,102.2,14.1
Cambodia,2019-01-01,187.5,175.3,15.6
Cambodia,2018-12-01,177.5,111.9,12.8
Cambodia,2018-11-01,375,115.7,14.4
Cambodia,2018-10-01,222.6,229.6,10.6
Cambodia,2018-09-01,387.2,245.9,8.1
Cambodia,2018-08-01,507.7,336.7,17.8
Cambodia,2018-07-01,566.1,358.3,17.1
Cambodia,2018-06-01,455.1,222.5,13.9
Cambodia,2018-05-01,314.5,412.2,10.1
Cambodia,2018-04-01,215.6,133.9,8
Cambodia,2018-03-01,326,105.7,21.7
Cambodia,2018-02-01,378.2,133,11.9
Cambodia,2018-01-01,77.7,40,15.6
Cambodia,2017-12-01,476.8,257.8,12.3
Cambodia,2017-11-01,196.8,134.4,14.8
Cambodia,2017-10-01,146.9,259.7,14.7
Cambodia,2017-09-01,60,63.6,122.2
Cambodia,2017-08-01,43.7,62.6,53.7
Cambodia,2017-07-01,370.1,77.3,16.7
Cambodia,2017-06-01,172.3,88.5,49.6
Cambodia,2017-05-01,315.7,52.3,10.9
Cambodia,2017-04-01,59.8,51.1,25
Cambodia,2017-03-01,173.3,70.9,10.9
Cambodia,2017-02-01,201,76.1,11.5
Cambodia,2017-01-01,653.5,49.8,10.9
Cambodia,2016-12-01,1098.2,87.3,14.3
Cambodia,2016-11-01,455.6,139.3,19.1
Cambodia,2016-10-01,415.2,64,11.8
Cambodia,2016-09-01,107.4,39.6,17.3
Cambodia,2016-08-01,70.1,41.7,113.1
Cambodia,2016-07-01,57.1,34.1,266.3
Cambodia,2016-06-01,46.6,41.3,463.8
Cambodia,2016-05-01,120.7,51.6,347.5
Cambodia,2016-04-01,46.8,52.1,173.7
Cambodia,2016-03-01,56.9,71.9,237.8
Cambodia,2016-02-01,52.5,36.9,159.9
Cambodia,2016-01-01,140.1,113.2,16.2
Cambodia,2015-12-01,374.8,158,24.2
Cambodia,2015-11-01,695.2,64.9,20.3
Cambodia,2015-10-01,145.8,25.9,14.5
Cambodia,2015-09-01,88.9,31.5,14.9
Cambodia,2015-08-01,214.8,51.5,14.1
Cambodia,2015-07-01,580.2,76.7,17.7
Cambodia,2015-06-01,263,59.3,21.2
Cambodia,2015-05-01,162.4,53.8,26
Cambodia,2015-04-01,195.5,60,16.3
Cambodia,2015-03-01,719.9,281.5,18
Cambodia,2015-02-01,412.3,85.1,14.9
Cambodia,2015-01-01,110.7,38.5,17.8
Cambodia,2014-12-01,418.4,126,16.1
Cambodia,2014-11-01,505.3,93.3,16.2
Cambodia,2014-10-01,373.1,57.9,10.7
Cambodia,2014-09-01,619.6,112.6,18.6
Cambodia,2014-08-01,249.3,70.2,21.7
Cambodia,2014-07-01,123.3,67.8,41.6
Cambodia,2014-06-01,133.7,75.9,35.9
Cambodia,2014-05-01,228.6,127.3,32.4
Cambodia,2014-04-01,180.5,92.9,36.8
Cambodia,2014-03-01,102.4,80.3,42.9
Cambodia,2014-02-01,266,69.6,36.3
Cambodia,2014-01-01,396.9,63.6,34.8
Cambodia,2013-12-01,444.1,107.1,25.3
Cambodia,2013-11-01,324.3,76.9,18.7
Cambodia,2013-10-01,398.3,83.6,27.4
Cambodia,2013-09-01,413.9,37.2,15
Cambodia,2013-08-01,323.9,72.1,25
Cambodia,2013-07-01,1168.9,106,19.6
Cambodia,2013-06-01,887.7,71.2,16.8
Cambodia,2013-05-01,771.7,135.4,16.7
Cambodia,2013-04-01,876,94,17.6
Cambodia,2013-03-01,659.4,86.4,18
Cambodia,2013-02-01,584.9,120.3,14.5
Cambodia,2013-01-01,301.7,95.2,14.1
Cambodia,2012-12-01,174.2,74.1,9.4
Cambodia,2012-11-01,71,63.6,134.8
Cambodia,2012-10-01,49.8,24.5,200.8
Cambodia,2012-09-01,49.7,43.9,209.6
Cambodia,2012-08-01,55.2,42.9,22.5
Cambodia,2012-07-01,122.4,58.2,26.8
Cambodia,2012-06-01,114,55.8,31.3
Cambodia,2012-05-01,429.3,75.9,9.4
Cambodia,2012-04-01,282,63.5,11.2
Cambodia,2012-03-01,281.2,25.1,12.7
Cambodia,2012-02-01,83.2,63.5,35
Cambodia,2012-01-01,378,30.4,19.6
Cambodia,2011-12-01,435.7,51,18.5
Cambodia,2011-11-01,93.6,64.4,56.1
Cambodia,2011-10-01,421.5,28,33
Cambodia,2011-09-01,510.1,38.6,15.1
Cambodia,2011-08-01,234.8,59.3,19.6
Cambodia,2011-07-01,183.4,33.8,46.7
Cambodia,2011-06-01,108.7,50.5,29.2
Cambodia,2011-05-01,101.4,57.5,11.6
Cambodia,2011-04-01,138.9,43.8,5.8
Cambodia,2011-03-01,454.3,53.4,7.1
Cambodia,2011-02-01,526.9,54.4,9.1
Cambodia,2011-01-01,848.6,45.9,7.6
Cambodia,2010-12-01,576.1,38.3,7.7
Cambodia,2010-11-01,418.8,41.2,6.9
Cambodia,2010-10-01,289,42,5.1
Cambodia,2010-09-01,38.7,45.5,23.8
Cambodia,2010-08-01,153.3,37.7,10
Cambodia,2010-07-01,339.7,56.2,6.6
Cambodia,2010-06-01,30.2,46.2,38
Cambodia,2010-05-01,39.8,53.5,38.3
Cambodia,2010-04-01,56.4,39.5,12.8
